backbone,dataset,method,train_seed,calibration,score,rho_test,split_seed,worst_group_rerun,worst_group_cov_rerun,cov_g0,n_g0,cov_g1,n_g1,cov_g2,n_g2,cov_g3,n_g3,cov_min_recomputed,argmin_recomputed
resnet50_erm,waterbirds,afr,0,marginal_split,APS,0.95,0,3,0.8257028112449799,0.9413654618473896,1245,0.9545454545454546,66,0.8939393939393939,66,0.8257028112449799,1245,0.8257028112449799,3
resnet50_erm,waterbirds,afr,0,marginal_split,APS,0.95,1,2,0.7575757575757576,0.9606425702811245,1245,0.9545454545454546,66,0.7575757575757576,66,0.8562248995983935,1245,0.7575757575757576,2
resnet50_erm,waterbirds,afr,0,marginal_split,APS,0.95,2,2,0.7575757575757576,0.9598393574297188,1245,0.9696969696969697,66,0.7575757575757576,66,0.8409638554216867,1245,0.7575757575757576,2
resnet50_erm,waterbirds,afr,0,marginal_split,APS,0.95,3,3,0.8570281124497992,0.9542168674698795,1245,0.9090909090909091,66,0.8636363636363636,66,0.8570281124497992,1245,0.8570281124497992,3
resnet50_erm,waterbirds,afr,0,marginal_split,APS,0.95,4,2,0.8787878787878788,0.9598393574297188,1245,0.9696969696969697,66,0.8787878787878788,66,0.8819277108433735,1245,0.8787878787878788,2
resnet50_erm,waterbirds,afr,0,marginal_split,APS,0.95,5,2,0.8333333333333334,0.9566265060240964,1245,0.9696969696969697,66,0.8333333333333334,66,0.8401606425702811,1245,0.8333333333333334,2
resnet50_erm,waterbirds,afr,0,marginal_split,APS,0.95,6,2,0.7878787878787878,0.9542168674698795,1245,0.9393939393939394,66,0.7878787878787878,66,0.8176706827309237,1245,0.7878787878787878,2
resnet50_erm,waterbirds,afr,0,marginal_split,APS,0.95,7,2,0.7727272727272727,0.9590361445783132,1245,0.9545454545454546,66,0.7727272727272727,66,0.8626506024096385,1245,0.7727272727272727,2
resnet50_erm,waterbirds,afr,0,marginal_split,APS,0.95,8,3,0.8425702811244979,0.9654618473895582,1245,0.9545454545454546,66,0.8484848484848485,66,0.8425702811244979,1245,0.8425702811244979,3
resnet50_erm,waterbirds,afr,0,marginal_split,APS,0.95,9,2,0.7878787878787878,0.946987951807229,1245,0.9393939393939394,66,0.7878787878787878,66,0.8345381526104417,1245,0.7878787878787878,2
